Time,Open,High,Low,Close,Volume,Returns,Profitability
2023-02-25 05:15:00,5.046,5.057,5.0,5.023,20659.7,-0.004360753221010927,-5.978766995716144
2023-02-25 05:30:00,5.022,5.022,5.004,5.014,5402.11,-0.0017917579135973138,-5.978766995716144
2023-02-25 05:45:00,5.015,5.027,5.011,5.019,3362.14,0.0009972078181093025,-5.978766995716144
2023-02-25 06:00:00,5.016,5.048,5.012,5.045,9612.06,0.0051803148037457,-5.978766995716144
2023-02-25 06:15:00,5.047,5.067,5.047,5.066,10120.9,0.004162537165510294,-5.978766995716144
2023-02-25 06:30:00,5.066,5.088,5.064,5.087,8160.03,0.004145282273983364,-5.978766995716144
2023-02-25 06:45:00,5.087,5.093,5.086,5.09,3802.86,0.0005897385492432683,-5.978766995716144
2023-02-25 07:00:00,5.09,5.092,5.083,5.088,3049.53,-0.0003929273084478657,-5.978766995716144
2023-02-25 07:15:00,5.089,5.095,5.065,5.069,6272.64,-0.0037342767295597268,-5.978766995716144
2023-02-25 07:30:00,5.066,5.073,5.056,5.065,5184.28,-0.0007891102781613091,-5.978766995716144
2023-02-25 07:45:00,5.063,5.068,5.05,5.068,6894.08,0.0005923000987164695,-5.978766995716144
2023-02-25 08:00:00,5.067,5.093,5.064,5.093,5082.74,0.004932912391476085,-5.978766995716144
2023-02-25 08:15:00,5.092,5.106,5.081,5.1,7503.17,0.0013744354997053954,-5.978766995716144
2023-02-25 08:30:00,5.097,5.097,5.075,5.078,3341.84,-0.00431372549019593,-5.978766995716144
2023-02-25 08:45:00,5.077,5.083,5.068,5.075,1884.56,-0.0005907837731390364,-5.978766995716144
2023-02-25 09:00:00,5.075,5.075,5.054,5.055,5551.89,-0.003940886699507429,-5.978766995716144
2023-02-25 09:15:00,5.054,5.054,5.039,5.043,10061.22,-0.002373887240356032,-5.978766995716144
2023-02-25 09:30:00,5.042,5.055,5.04,5.051,2204.28,0.001586357326987864,-5.978766995716144
2023-02-25 09:45:00,5.051,5.061,5.039,5.052,6591.46,0.00019798059790132605,-5.978766995716144
2023-02-25 10:00:00,5.052,5.063,5.047,5.059,3721.06,0.0013855898654000498,-5.978766995716144
2023-02-25 10:15:00,5.056,5.056,5.016,5.022,5997.92,-0.007313698359359577,-5.978766995716144
2023-02-25 10:30:00,5.022,5.027,5.011,5.017,13524.38,-0.0009956192751890969,-5.978766995716144
2023-02-25 10:45:00,5.016,5.034,5.008,5.01,18734.19,-0.0013952561291609156,-5.978766995716144
2023-02-25 11:00:00,5.01,5.038,5.009,5.031,4116.14,0.004191616766467066,-5.978766995716144
2023-02-25 11:15:00,5.034,5.034,5.02,5.032,5253.33,0.0001987676406280947,-5.978766995716144
2023-02-25 11:30:00,5.033,5.037,5.023,5.031,3057.83,-0.0001987281399046248,-5.978766995716144
2023-02-25 11:45:00,5.03,5.059,5.025,5.059,14177.48,0.005565493937587096,-5.978766995716144
2023-02-25 12:00:00,5.058,5.074,5.053,5.053,9169.83,-0.0011860051393556281,-5.978766995716144
2023-02-25 12:15:00,5.051,5.051,5.017,5.03,6348.72,-0.00455175143479114,-5.978766995716144
2023-02-25 12:30:00,5.029,5.043,5.024,5.037,17651.62,0.001391650099403563,-5.978766995716144
2023-02-25 12:45:00,5.036,5.061,5.009,5.061,26547.4,0.004764740917212684,-5.978766995716144
2023-02-25 13:00:00,5.064,5.079,5.058,5.062,5821.25,0.00019758940920766577,-5.978766995716144
2023-02-25 13:15:00,5.06,5.078,5.055,5.077,11147.93,0.002963255630185735,-5.978766995716144
2023-02-25 13:30:00,5.08,5.09,5.072,5.075,4318.25,-0.00039393342525106956,-5.978766995716144
2023-02-25 13:45:00,5.075,5.079,5.061,5.063,5198.86,-0.002364532019704546,-5.978766995716144
2023-02-25 14:00:00,5.063,5.076,5.057,5.057,5349.51,-0.0011850681414180553,-5.978766995716144
2023-02-25 14:15:00,5.06,5.07,5.05,5.07,5496.5,0.0025706940874035134,-5.978766995716144
2023-02-25 14:30:00,5.074,5.074,5.048,5.048,3257.73,-0.004339250493096691,-5.978766995716144
